the	这个、这些
foolish	愚蠢的
frustrate	挫败、使灰心
lamp	灯
league	联盟
tablet	平板电脑
affluent	富裕的
cabinet	内阁
collision	碰撞
delicious	美味的
duck	鸭
monument	纪念碑
pear	梨树
spider	蜘蛛
stack	堆
tame	驯服的、驯养
tent	帐篷
tomato	西红柿
helmet	头盔
fantastic	奇异的、极好的
metropolitan	大都市的
restraint	克制
accordingly	相应地、因此
drawing	绘图
eighty	八十
hi	你好
inertia	惯性
lately	最近
lump	块
ninety	九十
plentiful	丰富的
revolve	围绕
theirs	们的
harmony	和谐
breakdown	崩溃、故障
dash	猛冲
flee	逃跑
humorous	幽默的
kit	装备
magnify	放大
rubber	橡胶
senate	参议院
sixteen	十六
spin	旋转
tank	坦克、水箱
thoughtful	深思熟虑的
veteran	老兵
angle	角
brave	勇敢的
cafe	咖啡馆
compliment	恭维
crew	全体船员
envy	嫉妒
illuminate	照明、说明
metric	度量
molecule	分子
noisy	嘈杂的、吵闹的
particle	粒子
residence	住宅
stain	污点、着色
tangible	有形的
chaos	混乱
hardware	五金器具
harness	利用
legend	传说
premise	前提
refusal	拒绝
technician	技术员
toss	投掷、辗转
turnover	营业额
ally	伙伴、同盟者
cruise	巡航
deputy	副手
diary	日记
faint	微弱的
gram	克
idle	无目的
lorry	货车
nut	螺母、坚果
oven	烤箱
overnight	过夜
skyscraper	摩天大楼
summit	顶点
lens	镜头
porter	搬运工
practise	练习
swell	膨胀、涌
sword	剑
vacant	空的
violin	小提琴
weep	哭泣
courtesy	礼貌
doom	厄运、注定
inhabit	栖息
preferable	更好的
sketch	素描、草图
bang	巨响、刘海
chamber	室
enlighten	启发
mixture	混合
pan	平底锅
pearl	珍珠
acre	英亩
conspicuous	显著的、显眼的
fragile	脆弱的
gigantic	巨大的
overturn	掀翻、推翻
propel	推进
sow	播种、母猪
stove	炉子
vain	徒劳的
bold	大胆的
clarity	清楚
dirt	污垢、泥土
disclose	揭露、公开
embody	包含
inject	注入
loom	织布机
spacious	宽敞的
astronaut	宇航员
confer	商讨
conviction	定罪
eyesight	视力
fabric	织物
fragment	片段
operational	操作的、运作的
telegraph	电报
zoo	动物园
absurd	荒唐、可笑的
anonymous	匿名的
cheese	奶酪
descendant	后裔、后代
downward	向下
embarrass	使尴尬、窘迫
probability	可能性
scenery	风景
utmost	极限、最大限度的
whichever	无论哪一个
bare	赤裸的、空的
confess	承认
coupon	息票
discharge	释放
drain	下水道、排出
garbage	垃圾
handicap	障碍
hook	钩
horrible	可怕的
mad	生气的、着迷的
marathon	马拉松
optional	可选的
orientation	定位
pit	坑
questionnaire	问卷
stake	桩、赌注
stomach	胃
treaty	条约
virgin	处女
acquaint	告知
ascribe	归因于
awful	可怕的
button	按钮
cave	洞穴
complement	相辅相成、补语
confidential	机密的
gear	齿轮
installation	安装
lively	活泼的
portable	轻便的
prayer	祈祷
renovate	翻新、革新
swallow	吞下、燕子
sweater	毛衣
trash	垃圾
whisper	低声说、窃窃私语
abnormal	不正常的
bee	蜜蜂
bucket	大量、下倾盆大雨
defect	缺陷
detective	侦探
disrupt	干扰
identification	识别
loose	松的
pig	猪
pot	壶
poultry	家禽
recipe	食谱
ridiculous	荒谬的
slide	滑
texture	纹理
embryo	胚胎
vapor	蒸汽
chancellor	总理
deduce	推断
glory	荣耀
gum	树胶、齿龈
hijack	劫持
implicit	含蓄的、绝对的
renaissance	文艺复兴
wholly	完全地
ceiling	天花板
default	默认、违约
duration	持续时间
resent	恨
slack	松弛的、淡季、萧条的
unify	使成为一体
upright	正直的、垂直
chew	咀嚼
dense	浓密的、密集的
finite	有限的
impatient	不耐烦的
intuition	直觉
boil	煮沸、沸腾
bureaucracy	官僚
comprehend	领悟
framework	框架
hamper	妨碍
logic	逻辑
sanction	批准、处罚
snake	蛇
breast	乳房
fiscal	财政的
golf	高尔夫球
realm	领域
scarcely	几乎不、刚刚
tragic	悲惨的
transplant	移植
archive	档案、存档
corridor	走廊
dispose	处理掉、解决
domain	领域
extravagant	奢侈的
flock	一群
hybrid	杂种
infinite	无限
intrinsic	内在的、固有的
masterpiece	杰作
vulgar	粗俗的
aviation	航空
gentle	温和的
mud	泥
navigation	导航
ribbon	缎带
scandal	丑闻
thread	线
ache	疼
circulate	循环、流通
cough	咳
deck	甲板
diploma	文凭
elephant	大象
feminine	女性的
garage	车库
hut	小屋
imperial	帝国的、皇帝
ministry	内阁
neck	脖子
pant	裤子
pest	害虫
poster	海报
pronoun	代词
reconcile	调和、一致
tender	柔软、投标
premier	总理
hug	拥抱
nasty	丑陋的、惹人厌的
ideology	意识形态
laser	激光
legacy	遗赠物
entail	意味着
nail	钉、钉子
broker	经纪人
crown	王冠
lever	杠杆
likelihood	可能性
limb	肢体
proclaim	表明、声明
swing	摇摆、秋千
await	等候
comedy	喜剧
condemn	谴责
dust	灰尘
filter	过滤
fluid	流体
incidentally	偶然地、附带地
parade	游行
pave	铺路
preliminary	初步的
shield	盾
terminate	终止
tow	拖
uneasy	不安的
weave	编织
blur	模糊
contemplate	沉思、打算
discriminate	区分、辨别
handsome	英俊的
insure	确保
intricate	复杂的
kindness	善良
receipt	收据
uncover	揭开
worship	崇拜
acid	酸
boot	靴子、踢
extinct	灭绝的
hamburger	汉堡包
hawk	鹰
hydrogen	氢
patrol	巡逻
picnic	野餐
repel	击退、排斥
simultaneous	同时发生的
sin	犯罪
spacecraft	宇宙飞船
splendid	辉煌的
spokesman	发言人
spray	喷雾
voyage	航行
withstand	承受
beverage	饮料
bulb	电灯泡
erect	建立、直立的
expire	期满、终止
grace	优雅
gulf	海湾
layout	布局
librarian	图书管理员
lover	情人
marital	婚姻的
needle	针
precedent	先例
pub	酒吧
reckless	鲁莽的
spill	泄漏
stair	楼梯
ashamed	羞耻的
aunt	姑、姨
bald	秃头的、单调的
bankrupt	破产的
choke	窒息、抑制
cumulative	累积的
dubious	可疑的
eagle	鹰
gently	温柔地
integral	完整的
mediate	调停
organise	组织
overtake	赶上
pulse	脉搏
quantify	量化
respective	各自的
riot	骚乱、暴乱
situate	坐落在、的
skate	滑冰
specification	规格
sweat	汗水
transit	运输
tumble	暴跌、跌倒
rap	说唱音乐、轻敲
geology	地质学
inference	推理
cocaine	可卡因
graph	图表
monarch	君主
multitude	大量、多数
succession	连续
analogy	类比
despair	绝望
forge	伪造、建立
hitherto	迄今
predecessor	前任
whereby	凭借
aboard	上船、在船上
beard	胡须
bypass	绕开、旁道
chemist	化学家
chunk	厚块、大片
drawback	缺点
economical	经济的
ink	墨水
medieval	中世纪的
nod	点头
simplicity	简单
superstition	迷信
triple	三倍的
unfold	展开
accountant	会计师
bunch	束、一群
elder	年长的、长者
erase	抹去
fearful	可怕的
glow	光辉
holy	神圣的
inclusive	在内的、包罗广泛的
jar	罐子
outward	向外的、向外、在外
plague	瘟疫
refute	反驳、驳斥
spontaneous	自然产生的
adhere	坚持
aluminum	铝
bleed	流血
catalog	目录
erupt	爆发
explosive	炸药
fluctuate	波动
fur	毛皮
gut	内脏、肠子
heal	治愈
irritate	激怒
liberty	自由
parcel	包裹
sheep	羊
summon	召唤
terminal	终点、末端
tremble	颤抖
tribute	贡品、称赞
devil	魔鬼
diplomatic	外交的、老练的
displace	取代
echo	回声
evoke	唤起
funeral	葬礼
mammal	哺乳动物
midst	中间
offset	抵消
peasant	农民
scold	斥责
slump	暴跌
tail	尾巴
typewriter	打字机
accent	口音
accordance	符合、一致
anniversary	周年纪念
banana	香蕉
bloom	花
catastrophe	大灾难
certify	证明
collide	碰撞
cord	绳索
denial	否认
dormitory	集体宿舍
lemon	柠檬
ounce	盎司
pedestrian	行人
sail	航行、帆
salad	色拉
scenario	场景
sightseeing	游览
silk	丝
slope	斜坡、倾斜
sob	呜咽、哭泣
warfare	战争
juvenile	青少年
pilgrim	朝圣者
stadium	体育场
evade	逃避
saturate	使饱和、使充满
token	象征、象征性的
conscience	良心
continual	不断的
diligent	勤奋的
exemplify	例证
hail	冰雹
numerical	数字的
orderly	有秩序的、整齐的
warrant	保证、授权
comprise	包含
dental	牙齿的
flavor	风味
kilogram	公斤
preach	说教、讲道
presently	不久、目前
prose	散文
shark	鲨鱼
thirteen	十三
vertical	垂直的
administer	管理
aspire	立志
attorney	律师
classification	分类
declaration	宣告、声明
editorial	社论
explicit	明确的
fruitful	富有成效的
meantime	同时
nightmare	恶梦
ornament	装饰
perpetual	永久的
pregnant	怀孕的
rally	集会
rebel	反抗
successive	连续的
tin	锡
warehouse	仓库
wit	机智、才智
arithmetic	算术
axis	轴
brisk	轻快的、活跃的
cage	笼子
casualty	事故
certainty	确定
clause	条款
curse	诅咒
disguise	伪装
doorway	门口
faithful	忠实的
ghost	鬼魂
greedy	贪婪的
illustration	插图、说明
imaginary	虚构的
marginal	微小的、边际的
obsession	困扰
offensive	冒犯的、进攻性的
petroleum	石油
ponder	考虑
port	港口
safeguard	保护
signify	表示、意味着
simulate	模拟、冒充
sphere	球
thumb	拇指
transparent	透明的
album	相册
analyse	分析
arbitrary	任意的
arrogant	傲慢的
candle	蜡烛
closet	壁橱
duplicate	重复
evaporate	蒸发
ferry	渡船
gossip	闲话
hopeful	有希望的
immerse	浸
impart	传授
intimidate	恐吓、威胁
neat	整洁的
omit	省略
prosper	成功
scarce	稀少的、罕见的
thunder	闪电
timber	木材
accessory	配件
awe	敬畏
bath	洗澡
bully	欺负
carriage	运输、四轮马车
cube	立方
elevator	电梯、升降机
fixture	固定装置
honey	蜂蜜
infectious	传染的
lamb	羔羊
merchant	商人
pitch	球场、投
polar	极性
reassure	再保证
sand	沙
scrape	擦伤、刮掉
sorrow	悲伤
ugly	丑陋的
whoever	任何人、不管谁
captive	俘虏
cosmic	宇宙的
cucumber	黄瓜
grape	葡萄
eyebrow	眉毛
heroin	海洛因
apparatus	装置
coherent	一致的、连贯的
shot	开枪、发射、拍摄
mock	嘲笑、模仿
opening	开幕
tractor	牵引车
deploy	部署
dome	圆屋顶
lottery	彩票
monster	怪物
constituent	成分
eighteen	十八
emigrate	移民
hatred	仇恨
indicative	指示的、陈述语气
lounge	休息室
ore	矿
pastime	消遣
plead	恳求
recur	重现
soak	浸
sunrise	日出
susceptible	易受感染的
agony	极度痛苦
bizarre	奇异的
conversely	相反地
dedicate	致力于
extinguish	扑灭
fetch	取来
glove	手套
incur	招致
invalid	无效的
loosen	放松
orchestra	管弦乐队
pottery	陶器
quantitative	定量的
spectacle	景象、奇观
stripe	条纹
viewpoint	观点
alternate	交替
attendant	服务员
ballet	芭蕾舞
clash	冲突
comic	喜剧演员、滑稽的
converge	会聚、集中
correspondence	通信
costume	服装
designate	指定
eve	前夕
explode	爆炸
handwriting	笔迹
invasion	侵略
jewelry	珠宝
layoff	临时解雇、操作停止
messenger	报信者
oral	口述的
outbreak	爆发
portrait	肖像
procession	队伍
recognise	意识到、认可
southeast	东南
standpoint	立场
string	线、弦、一串
stroll	漫步
stumble	绊倒、蹒跚
temperament	气质
transistor	晶体管
verse	诗
void	空白、无效的、空虚
adverse	不利的
amplify	扩大
bacon	培根、熏肉
butterfly	蝴蝶
cargo	货物
chill	寒冷、寒冷的
commonplace	平凡的、老生常谈
compact	紧凑的
concession	让步
confuse	混淆
convict	罪犯
dwarf	侏儒
embark	着手
embed	嵌入
fuss	大惊小怪
namely	即
permeate	渗透
resemblance	相似
sometime	改天、来日
staple	主要的、订书钉
suck	吸
terror	恐惧
tonight	今晚
wardrobe	衣柜
wreck	残骸、破坏
blouse	女衬衫
bow	鞠躬
cafeteria	自助餐厅
cheek	脸颊
compatible	兼容
courtyard	院子
descent	下降
dessert	甜点
excursion	远足
expel	驱逐
fax	传真
fisherman	渔夫
fleet	舰队
graphic	图表
haul	拖、拉
hell	地狱
ingenious	精巧的、有独创性的
kiss	亲吻
meditation	冥想
merchandise	商品
oppress	压迫
repetition	重复
rod	杆
rub	擦
script	脚本
smash	粉碎、打碎
solemn	庄严的
solitary	孤独的
successor	接班人
sway	影响、摇摆
testimony	证明
weed	杂草
auction	拍卖
clip	修剪、夹子
corrupt	腐败
garment	衣服
colonial	殖民地的
conductor	指挥、导体
cripple	跛子、削弱
mandate	授权
microscope	显微镜
reign	统治
verdict	裁决
augment	增加
carve	雕刻
compile	编译
foremost	最重要的
gasp	喘气、喘息
hygiene	卫生
negligible	微不足道的
penny	便士
soap	肥皂
statesman	政治家
stationary	稳定的
tentative	暂时的
uphold	维护
agreeable	愉快的
anecdote	轶事
discourse	讨论、谈话
dot	点缀
flatter	奉承
knot	结
mercy	仁慈
naive	天真的
outset	开始
sacred	神圣的
sovereign	君主、至高无上的
turbulent	动荡的、狂暴的
vicious	恶毒的
ample	充足的
atom	原子
banquet	宴会
bleak	萧瑟的、无希望的
concise	简明的
disperse	分散
dividend	被除数、股息
documentary	纪录片
exempt	免除
facet	方面
freight	货运
hover	盘旋
hum	哼、嗡嗡声
impair	损害
levy	征收
mainland	洲、大陆
northeast	东北
notorious	臭名昭著的
pamphlet	小册子
periodical	期刊
perish	毁灭
purse	钱包
shallow	浅的
signature	签署
solidarity	团结
toil	辛苦
allege	宣称
bud	芽
contrive	设计、发明
credential	凭据
diamond	钻石
envelope	信封
erroneous	错误的
knee	膝盖
punch	殴打、打洞器、钻孔机
rectify	改正
robust	强健的、粗野的
selfish	自私的
shrug	耸肩
tick	滴答声、蜱虫、一会儿、打勾
tile	瓷砖
umbrella	伞
verge	边缘
aisle	走廊
badge	徽章、象征
bean	豆
browse	浏览
bump	碰撞、肿块
bundle	包、束
carpenter	木匠
cloth	布
coke	焦炭
custody	监护、拘留
daylight	日光
divine	神圣的、绝妙的
eccentric	古怪的
elicit	引出
erode	侵蚀
eternal	永恒的
fog	雾
foul	犯规、肮脏的
fracture	断裂
graze	放牧
handkerchief	手帕
liver	肝脏
marvelous	非凡的
mentor	指导
miracle	奇迹
nominate	提名
notable	显赫的
obedience	服从
ruler	统治者
spear	矛
sunshine	阳光
surrender	投降
taboo	禁忌
thirst	口渴、渴望
vegetation	植物
astronomy	天文学
chop	砍
doctrine	学说、教义
indignation	愤怒
prudent	谨慎的
disposition	倾向、安排、性情
perplex	使困惑、使复杂化
anchor	锚
damn	谴责、该死的
detector	探测器
earnest	认真
feeble	虚弱的
galaxy	星系
hello	你好
irony	反讽
mold	模子、模型
prosecute	起诉
savage	野蛮人、凶猛的
surveillance	监视
transient	短暂的
abrupt	突然的、陡峭的
affiliate	使附属、附属机构
align	调整、排列
assault	攻击
beginning	开始
conjunction	结合
consolidate	巩固、统一
counsel	建议
criticise	批评
genre	类型
hers	她的
overhead	在头顶上、在空中
overlap	重叠
regime	政权
soup	汤
terrific	极好的、可怕的
unite	联合、结合
acclaim	称赞、欢呼
ambulance	救护车
auxiliary	助动词、辅助的
ballot	投票
candy	糖果
carbohydrate	碳水化合物
cluster	群
coalition	联合
cop	警察
copper	铜
couch	长沙发、睡椅
dialect	方言
disturbance	扰乱
empirical	经验主义的
fasten	系上
glue	胶水
groan	呻吟
novelty	新奇的经验
pierce	穿透
proficiency	熟练
rumor	传闻
scare	恐吓、惊吓
sober	清醒
stall	货摊、失速、拖延
tomb	坟墓
tropic	热带
underneath	在下面
antique	古董
articulate	善于表达的
bake	烤
blanket	毯子
blast	爆炸
bless	保佑
carrot	胡萝卜
characterise	以…为特征
clumsy	笨拙的
concede	承认
enclose	附上
envisage	想像
isolate	隔离
oriental	东方的
pasture	牧场
raid	袭击
refuge	避难
resolute	坚决的
rug	地毯
sarcastic	讽刺的
scrap	废品、报废
shatter	粉碎
trumpet	喇叭、鼓吹
aloud	大声地
ape	猿
audio	音频
basement	地下室
blend	混合
bound	跳跃、界限
breeze	微风、轻松
cushion	垫子
dazzle	使眼花
deplete	耗尽
dial	拨号
discrepancy	差异
disgust	厌恶
donkey	驴
drawer	抽屉
drone	无人驾驶飞机
eject	喷射、驱逐
endow	赋予
erosion	侵蚀
flush	冲洗
glitter	闪烁
goodbye	再见
ignite	点燃
industrialise	工业化
jewel	珠宝
kidney	肾
kilometre	公里
lapse	失效、流逝
lease	租约
limp	跛行、柔软的
lovely	可爱的
nationality	民族
nominal	名义上的
notify	通知
oak	橡木
pale	苍白的、暗淡的
paperback	平装书
pavement	路面
pint	品脱
pope	罗马教皇
rehearse	排演、预演
repay	偿还
sack	解雇
skeleton	骨架
spectacular	壮观
statue	雕塑
stereo	立体声
strand	缕
tangle	纠纷、纠缠
temple	庙宇
transcend	超越
utilise	利用
vegetarian	素食者
weekday	工作日
furnace	炉子
textile	纺织品
canteen	食堂
condense	凝结、浓缩
denote	表示
differentiate	区分
grin	咧嘴笑
harbor	港口
haste	匆忙
posture	姿势
radar	雷达
nickname	昵称
preside	主持
rip	撕裂、裂缝
toast	烤、烤面包
vacuum	真空
balloon	气球
brochure	手册
directory	目录
doll	玩具娃娃
doze	瞌睡
flap	拍打
flesh	肉
fork	叉
glare	瞪着、怒视
hasty	匆忙的、轻率的
impetus	推动力
lucrative	获利的
obedient	顺从的
ozone	臭氧
poke	戳、刺
radiate	辐射、放射
rein	控制
rot	腐烂
sigh	叹息
singular	非凡的、单数的
smog	烟雾
snatch	抢夺、抓住
startle	吃惊
upstairs	楼上
aftermath	后果
applaud	鼓掌
appraisal	评估
assurance	自信、保险
barber	理发师
bin	垃圾箱
bride	新娘
bullet	子弹
captain	船长
despise	轻视
exclaim	呼喊
feat	功绩、技艺
fireman	消防队员
instantaneous	瞬间的
intact	原封不动的
intrude	打扰、侵入
metaphor	隐喻
moan	呻吟、抱怨
muscular	肌肉的
nuisance	麻烦
relativity	相对论
removal	除去、搬迁
rifle	步枪
sincere	真诚的
undo	取消
alienate	疏远
ascend	上升
ascertain	确定
astonish	使吃惊
banner	旗帜
baseball	棒球
bolt	螺栓
bowl	碗
congratulation	祝贺
consecutive	连续的
console	安慰、控制台
crush	压碎
deaf	聋的
dinosaur	恐龙
dread	恐惧
drum	鼓
emperor	皇帝
execute	执行
famine	饥荒
fence	栅栏
flame	火焰
fore	船头
hammer	锤
homogeneous	同类的
intrigue	阴谋
lap	重叠部分、轻拍、舐
litre	公升
lofty	高的、崇高的
magnet	磁铁
memorandum	备忘录
mingle	交往、混合
miniature	小型的、小规模的
niece	侄女
nourish	滋养
outfit	机构、配备
panda	熊猫
penetrate	穿透
pine	松树
postcard	明信片
quiz	小测验
rag	破布
rebellion	叛乱
refund	退款
resilient	有弹力的
roar	咆哮、轰鸣
segregate	隔离
sensation	感觉
sleeve	袖子
slender	细长的、苗条的
slippery	滑的
sock	袜子
sofa	沙发
southwest	西南
swear	赌咒、发誓
swift	迅速的、雨燕
thirsty	口渴的
censorship	检查制度
slot	槽
affirm	肯定
assimilate	吸收
frown	皱眉
lateral	侧面、侧面的
preface	前言
query	疑问、质问
splash	报道、溅泼的量
stride	跨、步伐
torch	火炬
butcher	屠夫
compress	压缩
diffuse	弥漫
discern	辨别
goodness	善良
grieve	悲伤
mute	沉默的、哑的
roast	烤
slum	贫民窟
steward	管家、管理
straw	稻草
viable	可行的
afterward	后来
angel	天使
blunder	大错
booth	电话亭
cigar	雪茄烟
commend	推荐
commonwealth	联邦
congratulate	庆祝、祝贺
cricket	板球、蟋蟀
diversion	转移
ecology	生态
elbow	手肘
equity	公平、权益
guild	协会
instrumental	仪器的、有帮助的
keyboard	键盘
latitude	纬度
liquor	酒
manuscript	手稿
plough	犁
suite	套房
superb	极好的
torture	拷问
workout	锻炼
advent	出现
audit	审计
blaze	火焰、燃烧
brutal	野蛮的
bug	臭虫、窃听器
bull	公牛
conspiracy	阴谋
endorse	支持
expend	花费
flour	面粉
forthcoming	即将到来的
handy	方便的
inventory	详细目录、清点
motel	汽车旅馆
naval	海军的
notebook	笔记本
palm	棕榈
relay	继电器、接力
sandwich	三明治
scent	气味
shrewd	精明的
specialise	专门研究、特定范围
stance	立场
veto	否决
waist	腰
widow	寡妇
ambassador	大使
avert	避免
bathe	沐浴
beloved	心爱的
biscuit	饼干
briefcase	公文包
burglar	窃贼
champagne	香槟酒
conquest	征服
convene	召集
conversion	转变
coward	懦夫
dizzy	晕眩的、困惑
exile	流放
futile	无用的
gracious	亲切的、仁慈的
hatch	孵化
heap	堆
heave	起伏、举、扔
hike	远足
hollow	空的、洞
huddle	拥挤、混乱
inland	内陆
insulate	隔离
intermediate	中间体、中等的
invaluable	无价的
jargon	行话
jungle	丛林
layman	门外汉
locality	地区
noon	中午
odor	气味
okay	可以、好的
optical	光学的
optimum	最佳的
pact	协定
persevere	坚持
pharmacy	药房
powder	粉
predominant	主要的
presume	假定、推测
protocol	协议
purple	紫色
rape	强奸
reclaim	回收、利用
repression	镇压
ridge	脊
rust	生锈
sauce	酱汁
sibling	兄弟姐妹
slap	掴、侮辱
stale	陈腐的、不新鲜的
strap	皮带
submerge	潜入水中、浸没
supper	晚餐
tilt	倾斜
trademark	商标
trim	修剪、装饰
typist	打字员
venue	审判地、犯罪地点
versatile	多才多艺的、通用的
yearly	每年的
necklace	项链
thrift	节俭
weary	疲倦
aeroplane	飞机
cement	水泥
inspect	检查
roundabout	迂回的
abide	遵守
ashore	上岸
chimney	烟囱
claw	爪
correspondent	通讯记者
crab	蟹
ditch	沟渠、抛弃
indignant	愤慨的
innumerable	无数的
irrespective	不考虑的
irrigate	灌溉
magnitude	大小
maid	侍女
memorial	纪念碑
mercury	水银
misunderstand	误解
nucleus	核
pinch	捏、一撮
plea	恳求、抗辩、借口
puppet	木偶
republic	共和国
reservoir	水库
screw	螺丝、螺钉
stern	船尾、严厉的
stiff	硬的
swamp	沼泽
tease	取笑
tray	盘
tug	拖船、拖
ventilate	通风
vocation	职业
zeal	热情
analytic	分析的
apt	恰当的
benign	良性的
canoe	独木舟
cassette	盒式磁带
circular	圆形的
crisp	脆的
crust	外壳
curl	卷曲
curtain	窗帘
deter	阻止
diagram	图表
epic	史诗
eradicate	根除
fabulous	极好的
fascinate	吸引住
fibre	纤维
formidable	强大的
hearing	听力、听觉
heroic	英勇的
inn	客栈
kin	亲属
murmur	低语
outrage	愤怒
pray	祈祷
propaganda	宣传
rouse	唤醒、激起
satire	讽刺
sneak	溜
stalk	茎
symphony	交响乐
tuck	卷起、藏起
whatsoever	无论什么
whip	鞭子
wrist	手腕
applause	鼓掌
ash	灰
bail	保释
bench	长凳
better	更好的
bolster	支持
bounce	反弹
complicate	复杂的
conscientious	认真的、负责的
coronavirus	冠状病毒
crane	起重机
crystal	水晶
culminate	达到高潮、结束
cupboard	碗橱
dismay	沮丧
evacuate	疏散
feather	羽毛
fertiliser	化肥
feudal	封建的
fireplace	壁炉
fountain	喷泉
frog	蛙
germ	细菌、胚芽
glide	滑翔
heir	继承人
imminent	逼近的
inhibit	抑制
inward	内部的、向内、内部
jazz	爵士乐
junction	连接
kidnap	绑架
loop	环
missionary	传教士
moist	潮湿的
naked	裸体的
overcoat	大衣
overflow	溢出
pardon	原谅
pity	同情
plagiarism	剽窃
plight	困境
portfolio	投资组合、作品集、文件夹
postman	邮递员
prototype	原型
punctual	准时的
redundant	解雇的
rotten	腐烂的
scarf	围巾
shabby	破旧的
shave	刮、剃
shipment	装运、货物
sore	痛处、疼痛的
spit	吐出、吐口水
steak	牛排
storey	楼层
sturdy	坚固的
toe	脚趾
tumor	肿块
turmoil	混乱
wary	机警的
whistle	口哨、汽笛
wolf	狼
geometry	几何
menace	威胁
radius	半径
semiconductor	半导体
statute	法规
barn	谷仓
jurisdiction	管辖权
nitrogen	氮
scorn	轻蔑、鄙视
shove	推
tram	有轨电车
abound	充满
cape	披肩、海角
cherry	樱桃
dock	码头
eminent	著名的
ending	结局
epoch	时代
hen	母鸡
intermittent	断断续续的
jaw	下巴
pepper	辣椒
purify	涤罪
rhetoric	修辞
rope	绳索
sideways	侧身地、斜向一边的
swarm	群
symposium	讨论会
thermometer	温度计
withhold	保留、扣留
arrow	箭
baggage	行李
blunt	钝的、直率的
bruise	擦伤、挫伤
buzz	嗡嗡声、电话
cab	驾驶室
calcium	钙
compass	指南针
downstairs	楼下
dye	染色、染料
fuse	保险丝、融合
hostage	人质
jog	慢跑
knife	刀
loaf	块
lunar	月亮的
meadow	草地
packet	数据包
plumber	管道工
psychiatry	精神病学
racket	球拍
recite	背诵
retention	保存、记忆力
shorthand	速记
sip	抿一口
stubborn	固执的
trolley	手推车
amend	修正
ankle	踝
barren	贫瘠的
basin	盆地
bat	蝙蝠
beast	兽
brass	黄铜的
breach	违反
broom	扫帚
canvas	帆布
cashier	出纳员
chin	下巴
chorus	合唱
civilisation	文明
clay	黏土
compartment	间隔、划分
compassion	同情
deer	鹿
detain	扣留
deviate	偏离
diameter	直径
discretion	谨慎
ego	自我
eloquent	雄辩的
enclosure	围墙、附件
farewell	告别
fling	投掷
fluent	流利的
friction	摩擦
frost	霜
glacier	冰川
glorious	辉煌的
grim	可怕的、冷酷的
grocer	杂货店
grope	探索
hinge	铰链
honorable	光荣的、可敬的
horizontal	水平的、水平线
horn	喇叭
humid	潮湿的
kneel	跪
latent	潜在的
leaflet	传单
linear	线性的
millionaire	百万富翁
minus	减去
nickel	镍
noun	名词
orthodox	正统的
pad	发射台、衬垫
parameter	参数
patron	守护神
petty	小的、琐碎的
pickup	加速、小型卡车、拾音器、获得
pillar	支柱
plural	复数
porch	门廊
preclude	阻止
pretext	借口
rabbit	兔子
rack	行李架
rash	疹子、轻率的
remnant	残余
reproach	责备
restless	不安宁的
revolt	反抗
ripe	熟的
robe	长袍
sailor	水手
saint	圣人
sceptical	怀疑的
seventeen	十七
shiver	发抖、哆嗦
smuggle	走私
sneeze	喷嚏
sour	酸的
specimen	标本
spoon	勺子
stagnant	停滞的
stitch	针脚、缝补
stoop	弯腰
submarine	潜水艇
subtract	减去
suffice	足够
thrust	推力
torment	折磨
torrent	激流
trunk	树干
vicinity	邻近
violet	紫色、紫罗兰
wagon	货车
yawn	呵欠
fume	烟
parachute	降落伞
superfluous	多余的
turbine	涡轮
aerial	天线
brow	眉毛
defer	推迟
flare	爆发、闪光
humiliate	使丢脸
jealous	嫉妒的
massacre	大屠杀
monotonous	单调的
rejoice	高兴
sly	狡猾的
speciality	专长
strawberry	草莓
synthesis	合成
throne	王位
vanity	虚荣心
velocity	速度
wedge	楔子
allegiance	效忠
bronze	青铜
chalk	粉笔
commemorate	纪念
dumb	愚蠢的
elapse	逝去
generator	发电机
ham	火腿
hedge	树篱、篱笆
idiom	成语
moisture	水分
mortal	凡人、致命的
orphan	孤儿
overhaul	彻底检查、革新
plateau	高原
pork	猪肉
propagate	传播
puff	粉扑、膨胀、一阵
reciprocal	互惠、相互
retrospect	回顾
rib	肋骨
tan	棕褐色、晒黑
aggregate	集料
anyhow	无论如何
arch	拱
avail	利益、有利于
balcony	阳台
barbecue	烧烤
belly	腹部
benevolent	仁慈的
beware	小心
blush	脸红
born	出生的
bulletin	公报
centimetre	厘米
circus	马戏团
clasp	钩、扣子
climax	高潮
commence	开始
decree	法令、颁布
dilute	稀释
disappoint	失望
discreet	谨慎的
dissipate	消散
dynasty	王朝
edible	可食用的、食品
elastic	有弹性的
escalate	升级
escort	护送
exceedingly	极度地、非常
excite	刺激、激起
exquisite	精致的
fairy	仙女
feast	宴会
fist	拳头
fortnight	两星期
furious	狂怒的
gauge	测量
gorgeous	华丽的
greeting	问候
grind	磨
guitar	吉他
handbook	手册
headmaster	校长
herald	先驱
herb	药草
hoist	升起、起重机
hose	水管
humidity	湿度
hurl	用力投掷、丢下
icon	偶像、图标
intelligible	可理解的
lad	小伙子
liner	班轮
locker	储物柜
lubricate	润滑
marble	大理石
mat	垫子
me	我
melody	旋律
merry	愉快的
nineteen	十九
notwithstanding	尽管
onion	洋葱
orchard	果园
oval	椭圆
overthrow	推翻
owl	猫头鹰
paradigm	范例
paste	粘贴
peach	桃子、桃树
pedal	踏板
pendulum	钟摆
